id	input_text	regex
1	At least 8 characters, at least one letter, and one number	^(?=.*[A-Za-z])(?=.*\d)[A-Za-z\d]{8,}$
2	At least 8 characters, at least one character, one number, and one special character	^(?=.*[A-Za-z])(?=.*\d)(?=.*[$@$!%*#?&])[A-Za-z\d$@$!%*#?&]{8,}$
3	Minimum of 8 characters, at least one uppercase letter, one lowercase letter, and one number	^(?=.*[a-z])(?=.*[A-Z])(?=.*\d)[a-zA-Z\d]{8,}$
4	At least 8 characters, at least one uppercase letter, at least one lowercase letter, one number, and at least one special character	^(?=.*[a-z])(?=.*[A-Z])(?=.*\d)(?=.*[$@$!%*?&])[A-Za-z\d$@$!%*?&]{8,}
5	regex to match minimum 8 characters and a maximum of 10 characters, at least one uppercase letter, at least one lowercase letter, one number, and at least one special character	^(?=.*[a-z])(?=.*[A-Z])(?=.*\d)(?=.*[$@$!%*?&])[A-Za-z\d$@$!%*?&]{8,10}
6	At least 12 characters, at least one letter, and one number)	^(?=.*[A-Za-z])(?=.*\d)[A-Za-z\d]{12,}$
7	Minimum 8 characters, at least one character, and one special character (excluding numbers)	^(?=.*[A-Za-z])(?=.*[$@$!%*#?&])[A-Za-z$@$!%*#?&]{8,}$
8	Minimum of 8 characters, full uppercase and at least one number: (excluding lowercase)	^(?=.*[A-Z])(?=.*\d)[A-Z\d]{8,}$
9	regex to match the words At least 8 characters, one number, and one or more special characters (except characters)	^(?=.*\d)(?=.*[$@$!%*?&])[\d$@$!%*?&]{8,}
10	I want to match all words that contains minimum of 8 characters and a maximum of 12 characters, one lowercase letter, one number, and one or more special characters (excluding uppercase letters)	^(?=.*[a-z])(?=.*\d)(?=.*[$@$!%*?&])[a-z\d$@$!%*?&]{8,12}
